0, 3.802533249023903E19, 5.91108541120545E9, 5.542289309049484E9, 2.0885938243711395E9, 5.7263398807898125E12, 5.874014258010408E9, Infinity, 8.242174282532944E9, 7.300142066168716E9, 9.217104175700737E9, 5.087589244692725E9, 7.198557235179044E9, 6.236199168073823E9, 5.552069441018108E9, Infinity, 3.7977880021550865E9, 6.371687168457635E9, 7.133826968694538E9, 3.802334279048592E13, 6.89252279369317E9, 6.230068229606966E9, 6.765464491019895E9, 6.9940083651331005E9, 6.999098440265025E9, 7.857592699509572E9, Infinity, 5.567111804089444E9, 7.541493488450855E9, Infinity, 7.974314157303205E9, Infinity, Infinity, 8.387152092120852E9, 7.410861663430608E9, Infinity, Infinity, 5.121636279114918E9, Infinity, Infinity, 7.57150995526072E9, Infinity, 6.950770481172136E9, 3.23345798816891E9, 4.949718996297864E9, Infinity, 1.9829163479976032E31, Infinity, 9.457732400076834E9, 7.434227167091089E9, Infinity, 7.499542849962355E9, 6.174906682087672E9, Infinity, 7.520903125067764E9, 6.768050181497777E9, Infinity, 7.862298434136341E9, Infinity, Infinity, Infinity, 8.553910201331771E9, 1.0844172171325502E10, 7.137499347227454E9, Infinity, 7.663672460940912E11, 5.433212174007086E52, Infinity, Infinity, 6.777180826381279E9, 7.209615259426768E9, 6.9573080266861315E9, 1.713627810461879E21, Infinity, Infinity, 7.014487267314953E9, Infinity, Infinity, 6.256396361305262E9, 7.776924827979455E9, 5.335984222735322E9, 6.472163974597373E9, 6.689568862300922E9, 6.875297786623748E9, Infinity, 6.679464877825212E9, 6.607777458383296E9, 7.534907270216136E22, 7.644749446736177E9, Infinity, 7.195532216230174E9, 6.011148566004135E9, 5.585964654226972E9, 5.017402023712746E46, Infinity, 7.443841417058956E9, 8.907210326018639E9, 7.176034180941331E9, 7.397762615119256E9, 6.444286740982404E9, 8.31235251051318E9
1, 5.346362769591287E9, 5.472561563554393E9, 5.55758160997663E9, 5.610140506476692E9, 5.747208619911591E9, 5.805470607735658E9, 6.143844991520905E9, 6.159004612736547E9, 6.169282120635984E9, 6.187609359425634E9, 6.192894131782352E9, 6.204753173506736E9, 6.237982876266319E9, 6.285949746785017E9, 6.300531553912534E9, 6.345397885258755E9, 6.376008518151761E9, 6.376877470908787E9, 6.383869941027784E9, 6.548377792518136E9, 6.563964275117556E9, 6.63432421163311E9, 6.670435616094623E9, 6.731105005217255E9, 6.741798861710314E9, 6.751272361514999E9, 6.771740441489682E9, 6.780122464084538E9, 6.803550326913228E9, 6.826286455700132E9, 6.976176287212616E9, 7.003048680906169E9, 7.004934018921256E9, 7.0124735343596325E9, 7.033324608791822E9, 7.055517436431931E9, 7.11377803693954E9, 7.119290601437742E9, 7.1339441306815195E9, 7.195976374781861E9, 7.1986786533684845E9, 7.207599113240994E9, 7.238596079946571E9, 7.246539403702549E9, 7.261615653183254E9, 7.319371171348672E9, 7.405019692268515E9, 7.413786968185093E9, 7.4250554606913185E9, 7.473417306384943E9, 7.500000812447978E9, 7.5371488415019455E9, 7.573709429354811E9, 7.593169216373558E9, 7.630683888897293E9, 7.654588145759356E9, 7.656135236310067E9, 7.678540318629969E9, 7.692086825971257E9, 7.754373684188593E9, 7.806916950632638E9, 7.88360536944122E9, 7.884713399404788E9, 7.927410050357977E9, 7.965702592571339E9, 8.014170272382926E9, 8.058074695725667E9, 8.117788413316734E9, 8.235930727588871E9, 8.247687153130709E9, 8.34173600690986E9, 8.444670025166734E9, 8.49685129406117E9, 8.760608417113625E9, 8.765633675928757E9, 8.796520235166132E9, 8.828290245046568E9, 1.4412214478595232E10, 3.504936240206869E10, 4.456320596243136E9, 6.065073266971068E9, 6.072666325326449E9, 6.112233287285266E9, 6.324156511871375E9, 6.498166782133087E9, 6.568723095272796E9, 6.589972008147521E9, 6.704799052734285E9, 6.856709855194777E9, 7.214412877382677E9, 7.368061615040405E9, 5.152964002788774E9, 5.501187981606159E9, 5.571546583337199E9, 6.039144604588319E9, 7.94798649723172E9, 7.990352758705307E9, 8.007313809106401E9, 3.513736843360005E11, 6.665452328079565E9
2, 5.346207849955462E9, 5.517432150344281E9, 5.529544892058008E9, 5.565727724527001E9, 5.634553073250974E9, 5.745408778655035E9, 5.876760857410059E9, 5.883995472263867E9, 5.889757200388943E9, 5.89785792714626E9, 5.900386048573337E9, 5.930762467030618E9, 5.962236435600853E9, 6.039270398409372E9, 6.104128122630031E9, 6.1423739489488E9, 6.145235225261852E9, 6.191235604493391E9, 6.19187158779353E9, 6.220115549996899E9, 6.220846982410453E9, 6.229560976490035E9, 6.245983942666478E9, 6.250542592934681E9, 6.277321972569733E9, 6.291727657794131E9, 6.3242488227982025E9, 6.327725724242833E9, 6.353829946511938E9, 6.365724002479477E9, 6.374037237722547E9, 6.429041428325106E9, 6.458875628947964E9, 6.466829890413158E9, 6.468347199174816E9, 6.476478258412893E9, 6.50220667558589E9, 6.552634138688292E9, 6.552909575142029E9, 6.577880050105615E9, 6.60014197323217E9, 6.602132288081839E9, 6.627159482334981E9, 6.649290764567725E9, 6.679899226146833E9, 6.681373008983293E9, 6.686323799141643E9, 6.73229589874417E9, 6.736168050857284E9, 6.763376841490949E9, 6.771660672453689E9, 6.823853052817199E9, 6.854809458696477E9, 6.859929786189111E9, 6.867876011238143E9, 6.8694067719237E9, 6.877089371053283E9, 6.881589627115514E9, 6.881898224629018E9, 6.898461340800086E9, 6.905348992061982E9, 6.914249513289799E9, 6.937268778973823E9, 6.948806986905661E9, 6.949349610827313E9, 6.9678269153209E9, 6.99597968762193E9, 6.996576688123432E9, 7.054467263242157E9, 7.064330473643155E9, 7.077951715601017E9, 7.0787876327500305E9, 7.093086696099597E9, 7.118214984976617E9, 7.1478376649110775E9, 7.158259941157397E9, 7.16329003302273E9, 7.166486194128007E9, 7.172733329070448E9, 7.176719010707851E9, 7.188698111144007E9, 7.224566400923616E9, 7.2337160802317095E9, 7.250575576670868E9, 7.251489274937448E9, 7.26191807106074E9, 7.273603903859132E9, 7.282446140243781E9, 7.295282145996842E9, 7.318916928112515E9, 7.339519110741478E9, 7.343322477062127E9, 7.351181533605641E9, 7.379252573337037E9, 7.391380729805589E9, 7.39510107420468E9, 7.400401597052431E9, 7.406290346457324E9, 7.44190798162887E9, 7.508421127622323E9
3, 5.464267193973676E9, 5.478330497973758E9, 5.641034649565145E9, 5.647511355214159E9, 5.70330659136058E9, 5.796833959610271E9, 5.806281051921686E9, 5.917176281173834E9, 5.940878809753819E9, 6.020636697698584E9, 6.081212010055633E9, 6.091807427558655E9, 6.094830404742226E9, 6.118269741664154E9, 6.139191624294582E9, 6.166786693845355E9, 6.168384537744137E9, 6.172954190745226E9, 6.188382413704516E9, 6.197238693367324E9, 6.1991504011249075E9, 6.213047582304086E9, 6.233177374060014E9, 6.268759874620873E9, 6.311311046022292E9, 6.343547006959569E9, 6.358195588201786E9, 6.400814072192319E9, 6.449350172913002E9, 6.456720535443255E9, 6.483108026921847E9, 6.49766293261525E9, 6.50062600066551E9, 6.510650473205895E9, 6.543050313373484E9, 6.555357215266024E9, 6.569645975787438E9, 6.577282609178035E9, 6.582343978402691E9, 6.590066936968038E9, 6.596459040596142E9, 6.615097550419166E9, 6.634860791424661E9, 6.635032109106981E9, 6.643491747339346E9, 6.656376175958658E9, 6.66642281770072E9, 6.684320474962689E9, 6.685858284346538E9, 6.700633507952895E9, 6.710141623733275E9, 6.752433881334215E9, 6.766527828358684E9, 6.767662946715589E9, 6.780799328495772E9, 6.790481842018817E9, 6.839542686949044E9, 6.851111910618392E9, 6.8624028941781645E9, 6.8756898319878645E9, 6.881171742551687E9, 6.889035352595657E9, 6.8909567525034275E9, 6.895129579375614E9, 6.911704270278653E9, 6.942663648617804E9, 6.963228278812425E9, 6.967199635153705E9, 6.980446046314414E9, 6.988191004363275E9, 6.997206543127346E9, 6.998223890670741E9, 7.011768458014246E9, 7.013152512735969E9, 7.02266972448448E9, 7.029435319993384E9, 7.035389393694017E9, 7.046672705640698E9, 7.063153271773976E9, 7.063748022188746E9, 7.075646032915167E9, 7.079219608610732E9, 7.085684817008148E9, 7.102987615476699E9, 7.123655633719879E9, 7.136703093579752E9, 7.141507202158944E9, 7.157507881070798E9, 7.158698538861986E9, 7.17377935107016E9, 7.177463551992705E9, 7.1787368357250185E9, 7.193336203099276E9, 7.193658032549063E9, 7.20219660541062E9, 7.21198874131207E9, 7.222596893363274E9, 7.22971987375172E9, 7.237889324935687E9, 7.240026808688806E9
4, 4.980404186875934E9, 5.020333280591279E9, 5.252424058601508E9, 5.576997101894938E9, 5.6014217733997755E9, 5.667519804565997E9, 5.673936673532652E9, 5.683546928483025E9, 5.719557394618532E9, 5.760891495465186E9, 5.833600907605347E9, 5.9763728454809E9, 5.992748602015027E9, 6.033065981925973E9, 6.062469181844623E9, 6.077656256857232E9, 6.192416577430023E9, 6.200353130289329E9, 6.202067836239001E9, 6.238846084644518E9, 6.271465789294947E9, 6.296353953235745E9, 6.304718592175461E9, 6.308606729605115E9, 6.3186787089589405E9, 6.323454979226635E9, 6.359601252461613E9, 6.362840542239176E9, 6.379306915628686E9, 6.379736786471319E9, 6.400318836185703E9, 6.413687628261968E9, 6.431483794611116E9, 6.434210112627E9, 6.439620558818818E9, 6.439924777447801E9, 6.454860191699231E9, 6.460851043009957E9, 6.480715628127976E9, 6.484678568937883E9, 6.486138648959618E9, 6.497037338227268E9, 6.501899784107026E9, 6.505217949219523E9, 6.508915741924005E9, 6.522415159209816E9, 6.524176588990298E9, 6.535350682051706E9, 6.536181396560651E9, 6.539722261774233E9, 6.544001745505304E9, 6.560487233565297E9, 6.564894784094666E9, 6.58961270389494E9, 6.609507816934675E9, 6.636750797977179E9, 6.640416885086836E9, 6.647841180321801E9, 6.648194174259431E9, 6.650017073781308E9, 6.659052124870519E9, 6.675270543222902E9, 6.752295765449339E9, 6.773572862789368E9, 6.776646033679641E9, 6.7981811087275095E9, 6.798233557380626E9, 6.806353293931239E9, 6.809069784638987E9, 6.829349196374071E9, 6.851751069305777E9, 6.89439014244289E9, 6.8967498251860695E9, 6.89722724001487E9, 6.920310340206042E9, 6.945873755697861E9, 6.992789921153223E9, 7.037160011967528E9, 7.043652676425904E9, 7.058883262660491E9, 7.059753771542398E9, 7.074661753369111E9, 7.085521088950663E9, 7.086060067080581E9, 7.109680493024243E9, 7.11038880122642E9, 7.118000501840371E9, 7.11929752194215E9, 7.155694508313581E9, 7.156888631048413E9, 7.164564167515139E9, 7.168858801049127E9, 7.1918337511003275E9, 7.207630327303817E9, 7.214502974742781E9, 7.231644239207967E9, 7.24651995835334E9, 7.248720519541317E9, 7.248855610629413E9, 7.261788875378061E9
5, 4.954652711587836E9, 5.08357926607271E9, 5.275812716862127E9, 5.302717063947662E9, 5.331952374827766E9, 5.409609258797094E9, 5.430409422711633E9, 5.451405746447402E9, 5.587133772491978E9, 5.735166207038124E9, 5.7547027145622835E9, 5.756990837193645E9, 5.764977328061538E9, 5.79216725973633E9, 5.881056993627038E9, 5.955100683658212E9, 6.0108295702856245E9, 6.051186719232405E9, 6.077647207807426E9, 6.10397683758854E9, 6.108874941507637E9, 6.12358875326806E9, 6.129924325847743E9, 6.137907039023754E9, 6.15063288637254E9, 6.155589697371587E9, 6.165834932890959E9, 6.183860325444274E9, 6.195518484640833E9, 6.210394111609417E9, 6.217541891290796E9, 6.222679927742907E9, 6.233578217142397E9, 6.240728012080799E9, 6.256922910023347E9, 6.260501548705694E9, 6.266466591770127E9, 6.268716414810067E9, 6.276905850129345E9, 6.29928987775695E9, 6.320182055603426E9, 6.33879958187742E9, 6.370225223682479E9, 6.370582591770346E9, 6.39144254614438E9, 6.410077847704234E9, 6.432035384026094E9, 6.436680573997052E9, 6.440551037552948E9, 6.440569415629839E9, 6.449997492611378E9, 6.5008695166721735E9, 6.538523236399106E9, 6.562309266769635E9, 6.571533783917018E9, 6.574589188578236E9, 6.618134530074074E9, 6.631560808241456E9, 6.631884648242779E9, 6.63671532905888E9, 6.645773839543679E9, 6.646086952583853E9, 6.671823938993325E9, 6.677296899719709E9, 6.678805802905852E9, 6.68530365722747E9, 6.688290036876434E9, 6.696228138788612E9, 6.70076028180542E9, 6.710474885945926E9, 6.727783831249962E9, 6.753134956580377E9, 6.754795038405167E9, 6.769192463075748E9, 6.794351197614133E9, 6.803195803988785E9, 6.815161643696806E9, 6.823348140731408E9, 6.830406699322799E9, 6.835370098138379E9, 6.842758162836183E9, 6.861638891381913E9, 6.868131678977758E9, 6.881825479759567E9, 6.905983750245767E9, 6.9130325102763E9, 6.918120669147676E9, 6.937426607681898E9, 6.952426023082087E9, 6.955694352144668E9, 6.9654311907487755E9, 6.986645103365688E9, 6.995777044773111E9, 6.999468361055122E9, 7.033045570102652E9, 7.041444368805312E9, 7.042977576096009E9, 7.076797062002039E9, 7.078944924267906E9, 7.085744897457528E9
6, 4.602891195959145E9, 5.475652171927682E9, 5.604267798181897E9, 5.632767001402667E9, 5.6476404238896675E9, 5.745919673757606E9, 5.746734072767289E9, 5.806082012385567E9, 5.8323235172163E9, 5.842731076089596E9, 5.901566581944548E9, 5.928239221432521E9, 5.928278651217502E9, 5.94207530975252E9, 5.956791048516035E9, 5.9664890604364805E9, 5.967384446726726E9, 5.98814458858693E9, 5.996517813879775E9, 6.031395985717926E9, 6.057275275990069E9, 6.100943460012949E9, 6.123492251751861E9, 6.124868755719453E9, 6.127541143802349E9, 6.132886561038596E9, 6.205630588704157E9, 6.253884433139288E9, 6.275585017653397E9, 6.280424946204792E9, 6.293833845347134E9, 6.304864264575105E9, 6.3528132589856415E9, 6.397042580701939E9, 6.398001486749438E9, 6.398322054415709E9, 6.412378011249817E9, 6.417413418394165E9, 6.456366019745752E9, 6.48404171313828E9, 6.492275057388458E9, 6.505846564985143E9, 6.516040299484443E9, 6.517624753473207E9, 6.531732658725126E9, 6.544847784500722E9, 6.558301362449067E9, 6.588766968913484E9, 6.592987083389334E9, 6.595841852442352E9, 6.59855360752543E9, 6.601451858753316E9, 6.606391505486116E9, 6.607984715812988E9, 6.621115755683227E9, 6.630510494567099E9, 6.643329988755336E9, 6.6528343059754095E9, 6.657985941068212E9, 6.663412129640577E9, 6.664911053672794E9, 6.683342787797837E9, 6.69163413642328E9, 6.694958101353786E9, 6.703676128761697E9, 6.7141701332332735E9, 6.716778302769082E9, 6.748016791957329E9, 6.751085020610602E9, 6.774818833088736E9, 6.795138175259626E9, 6.801060937287411E9, 6.817034125531853E9, 6.824110940951714E9, 6.82586460207609E9, 6.841097376425535E9, 6.87239427399238E9, 6.883586266122281E9, 6.885968309635335E9, 6.891092228678945E9, 6.900494756319769E9, 6.909163631821328E9, 6.917188650233989E9, 6.943659062983364E9, 6.948859043067548E9, 6.968396981451989E9, 6.970932034802635E9, 6.972993343009687E9, 6.980358912532589E9, 6.983349087022758E9, 7.024073640882773E9, 7.025149519421974E9, 7.030072506650652E9, 7.0512818554569435E9, 7.054547287198575E9, 7.06707884617816E9, 7.07515752230146E9, 7.081504747814284E9, 7.094812964826093E9, 7.115569815947289E9
7, 4.849379428084556E9, 5.027047913268415E9, 5.044503013098726E9, 5.182264966510416E9, 5.266012036344293E9, 5.454209003667387E9, 5.477019105511523E9, 5.541713851513003E9, 5.551425199802279E9, 5.551576643680563E9, 5.552785581254989E9, 5.592005059979579E9, 5.694864878710546E9, 5.704233429977309E9, 5.731234700088665E9, 5.749419101472119E9, 5.759380917783699E9, 5.834606116962384E9, 5.909792970690677E9, 6.062421616772123E9, 6.098579364651845E9, 6.109426719092065E9, 6.148602745668265E9, 6.177478148410747E9, 6.265893138784004E9, 6.270534726421392E9, 6.302526511918398E9, 6.325158255840889E9, 6.350347407627509E9, 6.354472046372548E9, 6.364268800899435E9, 6.379716345527125E9, 6.40364663964193E9, 6.440983680520598E9, 6.508785400847081E9, 6.52079326283368E9, 6.52260464990816E9, 6.527291197890824E9, 6.537374707119555E9, 6.540187241252982E9, 6.544119055036502E9, 6.552080404126482E9, 6.55339873759743E9, 6.555937465426866E9, 6.560088845159816E9, 6.560445342702509E9, 6.563042226346454E9, 6.564786769365016E9, 6.569121361339146E9, 6.576554796699218E9, 6.597390556375829E9, 6.60323282037943E9, 6.609548147771893E9, 6.622444728808957E9, 6.634848758705788E9, 6.682807582254613E9, 6.684153445861418E9, 6.689349222213928E9, 6.691963464115619E9, 6.69361125783706E9, 6.709693238475485E9, 6.724624929534092E9, 6.725858372276474E9, 6.742961144485155E9, 6.764220536636203E9, 6.793569728059365E9, 6.798923395211878E9, 6.800855249261138E9, 6.840393817253525E9, 6.845782810189315E9, 6.847549547749823E9, 6.884334707989783E9, 6.901809505271584E9, 6.907560111854415E9, 6.915793367552034E9, 6.937446000957648E9, 6.969185657877147E9, 6.971598321702484E9, 6.995898551468531E9, 7.002172284749035E9, 7.021113808095985E9, 7.033967249359441E9, 7.050097832516273E9, 7.053075483997424E9, 7.053492514728112E9, 7.063627145468278E9, 7.066498815488261E9, 7.071744903449988E9, 7.08196833290334E9, 7.093266662510872E9, 7.093409836225376E9, 7.096141344724739E9, 7.103029854213897E9, 7.107018275600723E9, 7.111095023572343E9, 7.136430783399485E9, 7.144322983613378E9, 7.165617241682914E9, 7.172429180154302E9, 7.1848955696013775E9
8, 4.446282695578289E9, 4.571680298421225E9, 4.970721771560068E9, 4.972312708411353E9, 5.125808601791008E9, 5.514956948586245E9, 5.546164722874205E9, 5.649167204421672E9, 5.725695131115545E9, 5.741517167043982E9, 5.768687942129951E9, 5.806699211000272E9, 5.946911675661814E9, 5.984703475116606E9, 5.988748100184984E9, 6.045424278137209E9, 6.073043893194965E9, 6.082112475349423E9, 6.136363877426592E9, 6.191985650893436E9, 6.193287657910801E9, 6.211909574332228E9, 6.217082617558557E9, 6.24494845512017E9, 6.263496830127189E9, 6.268172569867852E9, 6.271929004151162E9, 6.280645510451066E9, 6.288993451957964E9, 6.291311420812515E9, 6.305556644316666E9, 6.326721699418671E9, 6.351001905834877E9, 6.363160668376051E9, 6.438542633343678E9, 6.442227272325701E9, 6.459052195475962E9, 6.462692223491725E9, 6.470766616757214E9, 6.472842658032687E9, 6.484800295408295E9, 6.514416734200102E9, 6.519253030440457E9, 6.546539990509481E9, 6.5741260452596E9, 6.58557122941967E9, 6.587819570744032E9, 6.6121686575973425E9, 6.665506519321693E9, 6.675535085517723E9, 6.713164298880166E9, 6.724519802293778E9, 6.73119947549467E9, 6.748363540754806E9, 6.764504363562877E9, 6.77146833413573E9, 6.784316278293431E9, 6.790330042812402E9, 6.792652172522451E9, 6.793806626333156E9, 6.797357827198501E9, 6.802116947445637E9, 6.829574782140366E9, 6.855337112730979E9, 6.872043591462417E9, 6.878244106027439E9, 6.892853806935637E9, 6.901752145702733E9, 6.914731596026333E9, 6.922647066609473E9, 6.928457421961019E9, 6.929454599506258E9, 6.941223675402112E9, 6.94263511021408E9, 6.948551692109974E9, 6.964119990644091E9, 6.992041332319945E9, 6.995299308643202E9, 6.99610115168313E9, 7.062141747104634E9, 7.0747100577329445E9, 7.07807173473434E9, 7.12470683577823E9, 7.125429066410292E9, 7.137522704367874E9, 7.137873094710978E9, 7.139697069456938E9, 7.146305719625712E9, 7.146525527420621E9, 7.158383313996827E9, 7.178891702237786E9, 7.196582618551838E9, 7.215268613965425E9, 7.230036115286098E9, 7.2578411387096405E9, 7.259198407686927E9, 7.275990787889215E9, 7.282889201422389E9, 7.298319100685721E9, 7.320978512310799E9
9, 4.783209487669496E9, 4.818029764599362E9, 4.818787410732858E9, 4.948204357279655E9, 5.0351474462978945E9, 5.133965183185559E9, 5.256005742652805E9, 5.420233791126106E9, 5.4223494553125725E9, 5.45579537112411E9, 5.478634666210031E9, 5.73398028181637E9, 5.805920960778282E9, 5.81601511436216E9, 5.831781438255414E9, 5.851238897657529E9, 5.853474635232917E9, 5.869302518759287E9, 5.873911871707854E9, 5.893277557638898E9, 5.899056013970948E9, 5.975209060731269E9, 5.9769172692726145E9, 5.987860831362227E9, 6.001721655582267E9, 6.092917212199047E9, 6.096500996799107E9, 6.102270704353221E9, 6.139157909348831E9, 6.149962838289908E9, 6.162641183344296E9, 6.191813062621098E9, 6.198296846011756E9, 6.216172179114603E9, 6.231780840123515E9, 6.241263454035615E9, 6.260678516647075E9, 6.275158699464104E9, 6.284624411834261E9, 6.292922771959033E9, 6.316228975329106E9, 6.349418607830177E9, 6.370011910984174E9, 6.373837535412942E9, 6.421923918301343E9, 6.423230911309845E9, 6.425030925621719E9, 6.4452612389591055E9, 6.45373812730714E9, 6.486257687487767E9, 6.508213070136692E9, 6.508589564662742E9, 6.51674785518688E9, 6.5537847628264065E9, 6.555196851544685E9, 6.557722012529737E9, 6.558362905124155E9, 6.558577268427048E9, 6.567323430172459E9, 6.585724919292942E9, 6.58642580866817E9, 6.588733489160769E9, 6.598396809145388E9, 6.5984553385563755E9, 6.602312196332449E9, 6.618245313875612E9, 6.639228405323298E9, 6.646047132873244E9, 6.65053375151443E9, 6.671819425501713E9, 6.687132917290133E9, 6.689840318600964E9, 6.700147763425987E9, 6.727971472313119E9, 6.756165397168882E9, 6.7570074157509575E9, 6.761167317270889E9, 6.763678812343194E9, 6.775123295964763E9, 6.775251293307287E9, 6.796988255297599E9, 6.797891645585736E9, 6.803639946627155E9, 6.819493038313792E9, 6.824153396474292E9, 6.854285810433347E9, 6.861454931593382E9, 6.868479607638326E9, 6.888927060797961E9, 6.905980438083861E9, 6.915319411976358E9, 6.915431466501931E9, 6.926269070769664E9, 6.944094922679388E9, 6.956799043931032E9, 6.962993253270579E9, 6.964086725818729E9, 6.982721535763086E9, 6.987120007032945E9, 6.988724323045669E9
10, 4.899333281869459E9, 5.33742389262217E9, 5.383048613072197E9, 5.399465082576801E9, 5.446247968492196E9, 5.803174061253993E9, 5.82050920948249E9, 5.820525744711781E9, 5.822727268360011E9, 5.871921706358667E9, 5.8884553067451315E9, 5.906362410780383E9, 5.907770590859322E9, 5.92388577097522E9, 5.940272329588065E9, 5.947374290631426E9, 5.962387717527704E9, 5.9727709293576E9, 5.984684080404616E9, 5.998121215852711E9, 6.038267282705666E9, 6.051255176146479E9, 6.066535516340844E9, 6.069707181505055E9, 6.074200062859426E9, 6.086120121626655E9, 6.106593028521253E9, 6.11295871804342E9, 6.119956899538927E9, 6.142578755130202E9, 6.146802458840994E9, 6.167040998385415E9, 6.200328455963776E9, 6.242513278930711E9, 6.256923947541922E9, 6.26831409410025E9, 6.276103550562649E9, 6.300451550244118E9, 6.301196737344634E9, 6.333387888472985E9, 6.336146492782471E9, 6.364408828380827E9, 6.394447832192116E9, 6.395809918585926E9, 6.402063742838445E9, 6.413138721944046E9, 6.418795230486562E9, 6.423961899014537E9, 6.428092965600736E9, 6.436434623451204E9, 6.438883418275857E9, 6.461446032287022E9, 6.478434062887567E9, 6.505743588140317E9, 6.594034616633152E9, 6.608254734172139E9, 6.608808828241311E9, 6.622153016996275E9, 6.624599621825489E9, 6.62587131225853E9, 6.626841832784307E9, 6.628110665793479E9, 6.66821780625337E9, 6.67083239763214E9, 6.698897333232459E9, 6.7026744141018715E9, 6.723066621090542E9, 6.729787110333757E9, 6.732646389778879E9, 6.745182174759745E9, 6.75698940532244E9, 6.76043438077244E9, 6.763560633134038E9, 6.772743489087314E9, 6.787476168898083E9, 6.8011607612719755E9, 6.804675961609535E9, 6.814453085001893E9, 6.828451683679286E9, 6.842567081902671E9, 6.86635200187867E9, 6.871297344162665E9, 6.875735695358934E9, 6.881642061131905E9, 6.883921168183254E9, 6.885511914178267E9, 6.90081777466284E9, 6.912045229122587E9, 6.913185498719954E9, 6.926650433664574E9, 6.955955208794033E9, 7.012019479524656E9, 7.024180211702486E9, 7.038177289073266E9, 7.040153823670504E9, 7.060435190499685E9, 7.081762462461235E9, 7.15753310694133E9, 7.176191225014428E9, 7.182925271209998E9
