t,mse,failures
0, 1.1934775229180355E10, 0
1, 88728.34945768927, 0
2, 30948.068011236697, 0
3, 15808.375686135541, 0
4, 15515.907166044602, 0
5, 15515.907166044602, 0
6, 15515.907166044602, 0
7, 15515.907166044602, 0
8, 15515.907166044602, 0
9, 15515.907166044602, 0
10, 15515.907166044602, 0
11, 15515.907166044602, 0
12, 15515.907166044602, 0
13, 15515.907166044602, 0
14, 15515.907166044602, 0
15, 15515.907166044602, 0
16, 15515.907166044602, 0
17, 15515.907166044602, 0
18, 15515.907166044602, 0
19, 15515.907166044602, 0
20, 15515.907166044602, 0
21, 15515.907166044602, 0
22, 15515.907166044602, 0
23, 15515.907166044602, 0
24, 15515.907166044602, 0
25, 15515.907166044602, 0
26, 15515.907166044602, 0
27, 15515.907166044602, 0
28, 15515.907166044602, 0
29, 15305.701888631644, 0
30, 15305.701888631644, 0
31, 15305.701888631644, 0
32, 15305.701888631644, 0
33, 15305.701888631644, 0
34, 15305.701888631644, 0
35, 15305.701888631644, 0
36, 15305.701888631644, 0
37, 15305.701888631644, 0
38, 15305.701888631644, 0
39, 15305.701888631644, 0
40, 15305.701888631644, 0
41, 15305.701888631644, 0
42, 15305.701888631644, 0
43, 15305.701888631644, 0
44, 15305.701888631644, 0
45, 15305.701888631644, 0
46, 15305.701888631644, 0
47, 15305.701888631644, 0
48, 15305.701888631644, 0
49, 15305.701888631644, 0
50, 15305.701888631644, 0
51, 15305.701888631644, 0
52, 15305.701888631644, 0
53, 15305.701888631644, 0
54, 15305.701888631644, 0
55, 15305.701888631644, 0
56, 15305.701888631644, 0
57, 15305.701888631644, 0
58, 15305.701888631644, 0
59, 15305.701888631644, 0
60, 15305.701888631644, 0
61, 15305.701888631644, 0
62, 15305.701888631644, 0
63, 15305.701888631644, 0
64, 15305.701888631644, 0
65, 15305.701888631644, 0
66, 15305.701888631644, 0
67, 15305.701888631644, 0
68, 15305.701888631644, 0
69, 15305.701888631644, 0
70, 15305.701888631644, 0
71, 15305.701888631644, 0
72, 15305.701888631644, 0
73, 15305.701888631644, 0
74, 15305.701888631644, 0
75, 15305.701888631644, 0
76, 15305.701888631644, 0
77, 15305.701888631644, 0
78, 15305.701888631644, 0
79, 15305.701888631644, 0
80, 15305.701888631644, 0
81, 15305.701888631644, 0
82, 15305.701888631644, 0
83, 15305.701888631644, 0
84, 15305.701888631644, 0
85, 15305.701888631644, 0
86, 15305.701888631644, 0
87, 15305.701888631644, 0
88, 15305.701888631644, 0
89, 15305.701888631644, 0
90, 15305.701888631644, 0
91, 15305.701888631644, 0
92, 15305.701888631644, 0
93, 15305.701888631644, 0
94, 15305.701888631644, 0
95, 15305.701888631644, 0
96, 14535.330304972611, 0
97, 14535.330304972611, 0
98, 14535.330304972611, 0
99, 14535.330304972611, 0
100, 14535.330304972611, 0
101, 14535.330304972611, 0
102, 14535.330304972611, 0
103, 14535.330304972611, 0
104, 14535.330304972611, 0
105, 14535.330304972611, 0
106, 14535.330304972611, 0
107, 14535.330304972611, 0
108, 14535.330304972611, 0
109, 14535.330304972611, 0
110, 14535.330304972611, 0
111, 14535.330304972611, 0
112, 14535.330304972611, 0
113, 14535.330304972611, 0
114, 14535.330304972611, 0
115, 14535.330304972611, 0
116, 14535.330304972611, 0
117, 14535.330304972611, 0
118, 14535.330304972611, 0
119, 14535.330304972611, 0
120, 14535.330304972611, 0
121, 14535.330304972611, 0
122, 14535.330304972611, 0
123, 14535.330304972611, 0
124, 14535.330304972611, 0
125, 14535.330304972611, 0
126, 14535.330304972611, 0
127, 14535.330304972611, 0
128, 14535.330304972611, 0
129, 14535.330304972611, 0
130, 14535.330304972611, 0
131, 14535.330304972611, 0
132, 14535.330304972611, 0
133, 14535.330304972611, 0
134, 14535.330304972611, 0
135, 14535.330304972611, 0
136, 14535.330304972611, 0
137, 14535.330304972611, 0
138, 14535.330304972611, 0
139, 14535.330304972611, 0
140, 14535.330304972611, 0
141, 14535.330304972611, 0
142, 14535.330304972611, 0
143, 14535.330304972611, 0
144, 14535.330304972611, 0
145, 12820.291461681643, 0
146, 12820.291461681643, 0
147, 12820.291461681643, 0
148, 12820.291461681643, 0
149, 12820.291461681643, 0
150, 12820.291461681643, 0
151, 12820.291461681643, 0
152, 12820.291461681643, 0
153, 12820.291461681643, 0
154, 12820.291461681643, 0
155, 12820.291461681643, 0
156, 12820.291461681643, 0
157, 12820.291461681643, 0
158, 12820.291461681643, 0
159, 12820.291461681643, 0
160, 12820.291461681643, 0
161, 12820.291461681643, 0
162, 12820.291461681643, 0
163, 12820.291461681643, 0
164, 12820.291461681643, 0
165, 12820.291461681643, 0
166, 12820.291461681643, 0
167, 12820.291461681643, 0
168, 12820.291461681643, 0
169, 12820.291461681643, 0
170, 12820.291461681643, 0
171, 12820.291461681643, 0
172, 12820.291461681643, 0
173, 12820.291461681643, 0
174, 12820.291461681643, 0
175, 12820.291461681643, 0
176, 12820.291461681643, 0
177, 12820.291461681643, 0
178, 12820.291461681643, 0
179, 12820.291461681643, 0
180, 12820.291461681643, 0
181, 12820.291461681643, 0
182, 12820.291461681643, 0
183, 12820.291461681643, 0
184, 12820.291461681643, 0
185, 12820.291461681643, 0
186, 12820.291461681643, 0
187, 12820.291461681643, 0
188, 12820.291461681643, 0
189, 12820.291461681643, 0
190, 12820.291461681643, 0
191, 12820.291461681643, 0
192, 12820.291461681643, 0
193, 12820.291461681643, 0
194, 12820.291461681643, 0
195, 12820.291461681643, 0
196, 12820.291461681643, 0
197, 12820.291461681643, 0
198, 12820.291461681643, 0
199, 12820.291461681643, 0
200, 12820.291461681643, 0
201, 12820.291461681643, 0
202, 12820.291461681643, 0
203, 12820.291461681643, 0
204, 12820.291461681643, 0
205, 12820.291461681643, 0
206, 12820.291461681643, 0
207, 12820.291461681643, 0
208, 12820.291461681643, 0
209, 12820.291461681643, 0
210, 12820.291461681643, 0
211, 12820.291461681643, 0
212, 12820.291461681643, 0
213, 12820.291461681643, 0
214, 12820.291461681643, 0
215, 12820.291461681643, 0
216, 12820.291461681643, 0
217, 12820.291461681643, 0
218, 12820.291461681643, 0
219, 12820.291461681643, 0
220, 12820.291461681643, 0
221, 12820.291461681643, 0
222, 12820.291461681643, 0
223, 12820.291461681643, 0
224, 12820.291461681643, 0
225, 12820.291461681643, 0
226, 12820.291461681643, 0
227, 12820.291461681643, 0
228, 12820.291461681643, 0
229, 12820.291461681643, 0
230, 12820.291461681643, 0
231, 12820.291461681643, 0
232, 12820.291461681643, 0
233, 12820.291461681643, 0
234, 12820.291461681643, 0
235, 12820.291461681643, 0
236, 12820.291461681643, 0
237, 12749.434964386573, 0
238, 12749.434964386573, 0
239, 12749.434964386573, 0
240, 12749.434964386573, 0
241, 12749.434964386573, 0
242, 12749.434964386573, 0
243, 12749.434964386573, 0
244, 12749.434964386573, 0
245, 12749.434964386573, 0
246, 12749.434964386573, 0
247, 12749.434964386573, 0
248, 12749.434964386573, 0
249, 12749.434964386573, 0
250, 12749.434964386573, 0
251, 12749.434964386573, 0
252, 12749.434964386573, 0
253, 12749.434964386573, 0
254, 12749.434964386573, 0
255, 12749.434964386573, 0
256, 12749.434964386573, 0
257, 12749.434964386573, 0
258, 12749.434964386573, 0
259, 12749.434964386573, 0
260, 12749.434964386573, 0
261, 12749.434964386573, 0
262, 12749.434964386573, 0
263, 12749.434964386573, 0
264, 12749.434964386573, 0
265, 12749.434964386573, 0
266, 12749.434964386573, 0
267, 12749.434964386573, 0
268, 12749.434964386573, 0
269, 12749.434964386573, 0
270, 12749.434964386573, 0
271, 12749.434964386573, 0
272, 12749.434964386573, 0
273, 12749.434964386573, 0
274, 12749.434964386573, 0
275, 12749.434964386573, 0
276, 12749.434964386573, 0
277, 12749.434964386573, 0
278, 12749.434964386573, 0
279, 12749.434964386573, 0
280, 12749.434964386573, 0
281, 12749.434964386573, 0
282, 12749.434964386573, 0
283, 12749.434964386573, 0
284, 12749.434964386573, 0
285, 12749.434964386573, 0
286, 12749.434964386573, 0
287, 12749.434964386573, 0
288, 12749.434964386573, 0
289, 12749.434964386573, 0
290, 12749.434964386573, 0
291, 12749.434964386573, 0
292, 12749.434964386573, 0
293, 12749.434964386573, 0
294, 12749.434964386573, 0
295, 12749.434964386573, 0
296, 12749.434964386573, 0
297, 12749.434964386573, 0
298, 12749.434964386573, 0
299, 12749.434964386573, 0
300, 12749.434964386573, 0
301, 12749.434964386573, 0
302, 12749.434964386573, 0
303, 12749.434964386573, 0
304, 12749.434964386573, 0
305, 12749.434964386573, 0
306, 12749.434964386573, 0
307, 12749.434964386573, 0
308, 12749.434964386573, 0
309, 12749.434964386573, 0
310, 12749.434964386573, 0
311, 12749.434964386573, 0
312, 12749.434964386573, 0
313, 12749.434964386573, 0
314, 12749.434964386573, 0
315, 12749.434964386573, 0
316, 12749.434964386573, 0
317, 12749.434964386573, 0
318, 12749.434964386573, 0
319, 12749.434964386573, 0
320, 12749.434964386573, 0
321, 12749.434964386573, 0
322, 12749.434964386573, 0
323, 12749.434964386573, 0
324, 12749.434964386573, 0
325, 12749.434964386573, 0
326, 12749.434964386573, 0
327, 12749.434964386573, 0
328, 12749.434964386573, 0
329, 12749.434964386573, 0
330, 12749.434964386573, 0
331, 12749.434964386573, 0
332, 12749.434964386573, 0
333, 12749.434964386573, 0
334, 12749.434964386573, 0
335, 12749.434964386573, 0
336, 12749.434964386573, 0
337, 12749.434964386573, 0
338, 12749.434964386573, 0
339, 12749.434964386573, 0
340, 12749.434964386573, 0
341, 12749.434964386573, 0
342, 12749.434964386573, 0
343, 12749.434964386573, 0
344, 12749.434964386573, 0
345, 12749.434964386573, 0
346, 12749.434964386573, 0
347, 12749.434964386573, 0
348, 12749.434964386573, 0
349, 12749.434964386573, 0
350, 12749.434964386573, 0
351, 12749.434964386573, 0
352, 12749.434964386573, 0
353, 12749.434964386573, 0
354, 12749.434964386573, 0
355, 12749.434964386573, 0
356, 11846.900766595363, 0
357, 11846.900766595363, 0
358, 11846.900766595363, 0
359, 11846.900766595363, 0
360, 11846.900766595363, 0
361, 11846.900766595363, 0
362, 11846.900766595363, 0
363, 11846.900766595363, 0
364, 11846.900766595363, 0
365, 11846.900766595363, 0
366, 11846.900766595363, 0
367, 11846.900766595363, 0
368, 11846.900766595363, 0
369, 11846.900766595363, 0
370, 11846.900766595363, 0
371, 11846.900766595363, 0
