0, Infinity, Infinity, 86310.25642827815, Infinity, 87244.0647337767, 85924.87378699318, Infinity, Infinity, 2.237545196951416E269, 441114.53780626267, Infinity, 87244.0647337767, Infinity, Infinity, 6.287780297397244E8, Infinity, Infinity, Infinity, 4.665524109288783E168, 1.618936348145231E81
1, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 441114.53780626267, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
2, 19058.464896153095, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 441114.53780626267, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
3, 23987.545239867028, 19058.464896153095, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 441114.53780626267, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
4, 3.3261541368251327E7, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 441114.53780626267, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
5, 18339.57523443953, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity, Infinity
6, 18810.788828687255, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity, Infinity
7, 18849.19929911953, 18810.788828687255, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity, Infinity
8, 18884.812314785846, 18810.788828687255, 18849.19929911953, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity, Infinity
9, 18851.670366050097, 18810.788828687255, 18849.19929911953, 18884.812314785846, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity, Infinity
10, 19058.886111139298, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18884.812314785846, 19058.464896153095, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269, Infinity
11, 72578.59264133776, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18884.812314785846, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168, 2.237545196951416E269
12, 19058.464896153095, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18884.812314785846, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81, 4.665524109288783E168
13, 18866.50690900225, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18884.812314785846, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8, 1.618936348145231E81
14, 19058.464896153095, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7, 6.287780297397244E8
15, 36135.03276854044, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267, 3.3261541368251327E7
16, 19047.39916583301, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953, 441114.53780626267
