0, Infinity, 46286.60180247637, 3.208511010562012E304, 45806.65905485878, 45190.71861738746, 6.910376677408047E7, 28230.557837200176, 89701.52340513503, Infinity, 1060525.723664722, 6.6493612107113255E273, Infinity, 42696.085325360065, Infinity, 1.859155039485157E199, 2975903.599664135, Infinity, Infinity, Infinity, 7.048933197778967E41, Infinity, 39843.95982584984, Infinity, 1940270.8473502784, Infinity, Infinity, 4.509079454909965E21, 48886.3032496826, 2.233384172387446E230, 8.194303040151892E8, Infinity, 541944.1919304497, 1.937433076243475E10, 135705.6355291296, Infinity, 7.94886761899079E301, Infinity, 45356.202251251125, Infinity, Infinity, 84803.56665028023, 1.952710558477647E100, Infinity, Infinity, 5.452285284114171E127, 51784.206838802995, Infinity, 45827.05636212664, 6.1497244335692466E78, Infinity, Infinity, Infinity, 157897.57543080053, 20814.23205330667, 1.398559065483253E7, 3.563107769217995E8, 1.6628635275990061E7, 47966.95148574029, 41850.40953641783, 40905.56316697563, 160636.3970714017, Infinity, Infinity, Infinity, 2.0205895661815404E134, Infinity, 49986.65546062883, 4.906731649449112E53, Infinity, 1423931.5328710896, 2.4144731129708094E99, 46328.78079615885, 42940.014549509004, 47045.74860147444, 3.086799986988577E278, 71728.06496637203, 1.1701392933474982E85, 3.320362598477062E122, 51331.22991206565, Infinity, 1.9778039951937118E238, Infinity, 45375.045512958706, Infinity, 141471.94396943916, Infinity, Infinity, 536929.7764718705, 42794.79246242298, 59542.850995264336, 45410.728781592836, 2.8040678194697714E8, 4.322611360524026E11, Infinity, 406704.0645945599, 44263.4576111517, 55989.16154753914, 90852.72325656982, Infinity, 4.188451676258112E85
1, 20.274462716011072, 20.75911063785864, 21.04801249846296, 22.070133247245824, 22.134251877909655, 22.203868166758618, 22.42302055934822, 22.62187709504163, 22.73982983503744, 22.88713945901916, 22.892822474558027, 22.977699136445015, 22.999970361516077, 23.017181910483696, 23.025090140132313, 23.22975513259002, 23.33048226141889, 23.379299718804123, 23.398679655275334, 23.556366938990564, 23.8074770966932, 23.8226700266619, 23.846453360302654, 23.873012247475135, 24.18969208085719, 24.249428850860664, 24.292307798017266, 24.462370949446836, 24.655577081243603, 24.695038376873256, 24.745817451515325, 24.760805611692845, 24.768277026830052, 24.8576128036541, 24.882961380004815, 24.944845852315005, 24.985765321282987, 25.058242434236032, 25.089851490327476, 25.105546721274017, 25.118062150069566, 25.129854128132326, 25.13902953432389, 25.224544568254856, 25.35226384165, 25.402282035163818, 25.450785462832776, 25.45457655721708, 25.60219506948035, 25.673550510591756, 25.682609860250096, 25.711002784811974, 25.790156383652295, 25.85927489846196, 26.00991890263253, 26.132187360339827, 26.276868782333608, 26.27765402410037, 26.33034612310661, 26.49021316891116, 26.53977508342481, 26.558513714977842, 26.56009147530962, 26.57273233148537, 26.61326025755769, 26.637460706386, 26.69344104878409, 26.79156169743136, 26.79569404239778, 26.908680701160325, 26.995763001810886, 27.023592538887936, 27.077604907433397, 27.084724993584704, 27.150601942761842, 27.262693584266643, 27.39319356184825, 27.52589605550527, 27.582126734472727, 27.666105289691423, 27.866183599073857, 27.897166061782222, 28.054476515922993, 28.232026699810703, 28.619264765635506, 28.659346084389604, 29.30566717267471, 29.506772369310088, 29.610401137252552, 29.91627253094901, 30.943198528033, 33.040090508662914, 34.046284688675044, 35.80822035234721, 37.16551765429401, 37.24973418816059, 37.430083307855, 39.268751553250006, 40.98320250697272, 41.595494066021054
2, 19.83146773090321, 20.03576179742974, 20.10001578512862, 20.14315635548728, 20.319444181396243, 20.596424238224106, 20.830543997100307, 20.89564664988846, 21.022862830469737, 21.032944381235556, 21.091191301111067, 21.4473692507713, 21.507345380321944, 21.50980048878933, 21.520311420584076, 21.535064059784553, 21.60721264170981, 21.627067076408604, 21.651579808344948, 21.65939736922787, 21.660190858761133, 21.737455857660567, 21.866212789369897, 21.902875078258003, 21.91626833023521, 21.919964193623247, 21.929907173223732, 21.93276859865415, 21.953828233081346, 21.970672729735604, 21.976671304733216, 22.016009532531346, 22.084620793595377, 22.085611220120477, 22.126615515281742, 22.142376374079504, 22.15242021673307, 22.157302184811716, 22.1890519299703, 22.208499594810185, 22.214052122065315, 22.238621995573837, 22.2454154876593, 22.267202686928446, 22.332270407429014, 22.338569032381475, 22.377468586926305, 22.37986404934078, 22.448273678340716, 22.470748127115158, 22.484989199462014, 22.49323347209857, 22.520617689278364, 22.535103720274606, 22.557176126178245, 22.558493497834068, 22.564321790143005, 22.634286699247063, 22.645951672491325, 22.6813684132818, 22.701807963493575, 22.712916571998267, 22.753549511843175, 22.761286953109426, 22.784689183640715, 22.808791419512737, 22.850298767545755, 22.853577764591158, 22.88451630969543, 22.892857982627493, 22.972270159912796, 22.976494365973398, 22.994056677419916, 23.001373757106073, 23.041589793327987, 23.059109027048972, 23.071789392257966, 23.082221317475522, 23.09518010350905, 23.09581266604439, 23.102066419769237, 23.115434948625758, 23.136865333721914, 23.155170011459106, 23.18463234894163, 23.214630598959847, 23.217343732121023, 23.252139557929755, 23.278672154899233, 23.28176282830192, 23.33143272874865, 23.36174385480839, 23.426072072359943, 23.43568304262557, 23.45650455111063, 23.46293642509701, 23.477615683746123, 23.47965025147713, 23.486123859815628, 23.489505384461825
3, 19.515747016772504, 19.813887059527094, 19.91867639120027, 20.57344004166884, 20.57806010793143, 20.76997602255343, 20.875526804540204, 20.98205873431217, 21.066168773444563, 21.246636961094726, 21.3156515406967, 21.365697291285425, 21.43046337992214, 21.440987681006437, 21.494386367178144, 21.535863407555524, 21.575448681680886, 21.672453503124263, 21.678925628582313, 21.757185262129212, 21.81082510865449, 21.814650557422794, 21.830897379551832, 21.905691843017564, 21.907289167599213, 21.907682618248096, 21.915129264408026, 21.96340943110932, 22.001461584005664, 22.035671847142112, 22.06230203110657, 22.251501511434856, 22.269444958898955, 22.27275185117401, 22.276506800622304, 22.27715625562299, 22.293089688195167, 22.303012534098738, 22.32086017735616, 22.334975066480023, 22.341398034849938, 22.343991578180752, 22.37371811848831, 22.37501589175575, 22.416610254671276, 22.43606951645055, 22.439301956892017, 22.46117696354165, 22.46743816616741, 22.49046386089085, 22.49365857897169, 22.502699285567648, 22.555786862086386, 22.561990147323883, 22.580990852630347, 22.603329643726056, 22.607852983114523, 22.632175751131772, 22.642068963233267, 22.642075329112487, 22.644436886197504, 22.656078790283086, 22.717181111740196, 22.761022669248554, 22.766730949307455, 22.827595086865042, 22.839780965791032, 22.84481687177283, 22.851521594004204, 22.879040060678875, 22.897081466424133, 22.90902888563941, 22.937211524359014, 22.95991775561572, 22.971149467623572, 22.97534724216497, 22.978711419163393, 22.98362947266329, 22.989190232376554, 23.001070442307412, 23.011699421014768, 23.01727946663394, 23.034919375120392, 23.039209412755476, 23.051056739824624, 23.06029867898742, 23.081198642736563, 23.104209155433402, 23.119912145876103, 23.13480060814891, 23.150592662548426, 23.205843914190535, 23.230268471296693, 23.237676245586258, 23.248274529127272, 23.26001363921689, 23.260522161804474, 23.26955931382315, 23.31707111714765, 23.34796109293424
4, 19.211377687266022, 20.05557979380556, 20.102903212647885, 20.35785235811896, 20.59455979508152, 20.74327790715456, 20.877489424450403, 20.91111566845659, 21.144513754741535, 21.15155630653595, 21.324632051548658, 21.432300890563454, 21.46234540115926, 21.617774585967627, 21.663996733857203, 21.675666489273635, 21.678945464072157, 21.76089547618943, 21.7943985021092, 21.8550609986206, 21.933848881748602, 21.94658191836163, 21.989578507488165, 22.051824236970255, 22.095107314788724, 22.10050919482785, 22.102196298616242, 22.163218332825537, 22.18536760818988, 22.19202651472951, 22.222024078177576, 22.244018113446742, 22.322084035807023, 22.34935275098074, 22.385446122538465, 22.389436812056204, 22.400568495479465, 22.42442910424518, 22.444228540171732, 22.448712384705136, 22.47429498266472, 22.493974090278297, 22.507215231753598, 22.544572474225582, 22.554907857631374, 22.571921290767218, 22.579366027722255, 22.58044223187913, 22.602948026639698, 22.619353361439725, 22.62505498119992, 22.62823133740103, 22.64910190820263, 22.667093845350347, 22.687926618520407, 22.703012519293402, 22.711404116030227, 22.731333119428687, 22.737480980162708, 22.74946156532094, 22.755294840146192, 22.798766963574252, 22.822151850885582, 22.826028310459, 22.83534730563387, 22.84135202590017, 22.846834386633084, 22.85146224945865, 22.860654117722024, 22.867552764413308, 22.871916276126317, 22.87318838082962, 22.88120277598395, 22.89497890924115, 22.926887307965643, 22.942277231683114, 22.967864680266626, 22.989048088427822, 23.002871028993287, 23.021713990929698, 23.029759656823153, 23.033887636655034, 23.087842650303795, 23.090057684119103, 23.091757758928587, 23.095651100755145, 23.097473083573405, 23.11608295886935, 23.127335416960886, 23.133735416748472, 23.13917665630619, 23.139759582773355, 23.160542547653, 23.18266839556938, 23.184299092896563, 23.210063069704333, 23.210826194917413, 23.24562810623103, 23.260044225581492, 23.272974938417416
5, 19.627110277824475, 19.741614891511983, 20.055061642885732, 20.28894996239506, 20.494826782623154, 20.59406033946011, 20.729585401892553, 20.89286466174081, 20.92129556060666, 21.081005803595943, 21.372487349085468, 21.520843867308887, 21.57364218064103, 21.725796289076598, 21.784264858083755, 21.808688693338283, 21.864260600886855, 21.883741715441843, 21.932028674798826, 21.954139038681905, 21.956288938159084, 21.961845665700068, 22.013873940779302, 22.082662632155234, 22.12725876206157, 22.16340473380941, 22.167504440329704, 22.170775882797503, 22.177935313844177, 22.179602781996145, 22.211628757779174, 22.311078230259117, 22.32970624488061, 22.340071545115443, 22.354976574445963, 22.424951372774316, 22.493480128897403, 22.51236869040171, 22.556186833227546, 22.615362870547354, 22.62776898260325, 22.62950271533744, 22.652878600584014, 22.675476863375835, 22.727021376998334, 22.745127080254935, 22.77196608624652, 22.80920362707023, 22.812674813623108, 22.814653824680963, 22.832469005975607, 22.8397839027454, 22.843283488633144, 22.8449931257972, 22.851060951599372, 22.854753388230584, 22.89371350824148, 22.90345093957299, 22.911001282773817, 22.93876906589386, 22.958048655656036, 22.96877217092828, 22.96884818020274, 22.97313189714011, 22.97471751176488, 23.00354219581557, 23.004754634014713, 23.026607711479265, 23.05401493987284, 23.074309565259675, 23.080044272816345, 23.107740711824597, 23.111870026366304, 23.11280221539118, 23.118144830216256, 23.125502573595817, 23.131984588135172, 23.147342668112344, 23.14890021433143, 23.15129445306314, 23.156256224303263, 23.162422143816215, 23.20264148701374, 23.287150491270936, 23.293003054104922, 23.295120449330227, 23.299396193708645, 23.31772999615197, 23.325682262084865, 23.328650224258496, 23.33140604767334, 23.342289260894052, 23.346804780732267, 23.350252424347385, 23.358567652948327, 23.364647896580486, 23.372655523467415, 23.386892205290703, 23.388086484842905, 23.393470295473517
6, 19.25013089056139, 19.674667604505327, 20.09237853401446, 20.20239417756347, 20.508750318573565, 20.577426335838577, 20.941184091115886, 20.946294392199206, 21.087424097065913, 21.18261408960824, 21.22367352941467, 21.250691358109158, 21.28533577165733, 21.294916440682236, 21.36243894642371, 21.678802598501154, 21.697979109838396, 21.83891056503769, 21.854559851541758, 21.857395572949645, 21.895541670450843, 21.89809560518515, 21.925837556335544, 21.941500632567383, 21.953172642748324, 21.972763008347627, 21.984470136259127, 21.990613537782004, 22.024676288570486, 22.035498496762106, 22.035897405289717, 22.062165293920287, 22.09918427666848, 22.12099952334819, 22.174068038679017, 22.195655156418155, 22.23848228964529, 22.34928378668546, 22.370475602229156, 22.4012630580812, 22.40324596665558, 22.432489989341537, 22.442267894213792, 22.459464658202705, 22.4799981244998, 22.511964765741922, 22.545393158865107, 22.560699960296162, 22.57158184199729, 22.58282904090977, 22.596131638707405, 22.596842895373403, 22.629358433237254, 22.632266554797837, 22.646857981965123, 22.67727745340381, 22.736261969200577, 22.73983295006106, 22.772796142696475, 22.77767176124139, 22.783748071960602, 22.816352270609322, 22.840971701550107, 22.855399079203174, 22.866592061560418, 22.878420253332614, 22.88798549537202, 22.889380810743813, 22.905847335136457, 22.91119308318531, 22.914289508620076, 22.93692258204634, 22.94012211556147, 22.94064629032052, 22.97124138023451, 23.011495350035915, 23.026980233580005, 23.07370714483035, 23.10181444368672, 23.16499797966872, 23.172675142183127, 23.18607972341785, 23.212059694564235, 23.215067933766242, 23.224030234203347, 23.247773569602497, 23.253460061215044, 23.27869846060859, 23.280007576563285, 23.28248025871299, 23.29917100422178, 23.301637048744283, 23.32528584324864, 23.3286686185798, 23.3292688467354, 23.332265395917975, 23.334605752802997, 23.34232932414177, 23.365558311772887, 23.370491132160755
7, 19.43404874669204, 20.197343590888853, 20.546939150114294, 20.64725492475322, 20.68863967103174, 20.693781561948498, 20.734387079384963, 21.065753796117118, 21.07766382491491, 21.315495326739207, 21.33269608348435, 21.347692960140378, 21.492652941953025, 21.513491037898067, 21.51680167489331, 21.526710255011803, 21.59018933740237, 21.620147688774672, 21.700587779676844, 21.71897099544836, 21.74034104239826, 21.781329116715423, 21.93092143827447, 21.938246165210582, 22.000062473061547, 22.00482299114289, 22.014995242137413, 22.048081805673572, 22.06725519295515, 22.07311144978918, 22.106208647333457, 22.14158745387169, 22.167988907948185, 22.19115650238434, 22.210019771498512, 22.210351472279676, 22.25053176162294, 22.28787834646611, 22.31751220143487, 22.335662168916727, 22.34503037066498, 22.35513310771616, 22.364880858747014, 22.36692533290951, 22.388394785356507, 22.389214950277534, 22.393848062771628, 22.398002624539547, 22.460432669498836, 22.496384771937983, 22.497707663585295, 22.514393676373782, 22.51835605258586, 22.540017185565482, 22.554601997588918, 22.567275502179818, 22.596309156531888, 22.615508093118095, 22.68702645978449, 22.703179780400017, 22.71129907263886, 22.721600976347396, 22.7220020591622, 22.72583766001413, 22.76126702785324, 22.77294756036033, 22.7851530962623, 22.790015206558344, 22.83439657567097, 22.835922123484533, 22.848074198006497, 22.896917654426545, 22.897158984165863, 22.939463381274763, 22.94069055926428, 22.96442094661837, 22.981328348470132, 22.982755724887518, 23.01750739432866, 23.05220548531008, 23.05577986991238, 23.058929610050814, 23.080957114379853, 23.08652685911122, 23.10840778014541, 23.109235366240878, 23.135474804227613, 23.136791149881944, 23.257450285110572, 23.26936429029843, 23.28389341831914, 23.31269945932586, 23.31464715107135, 23.327241536057926, 23.33869811635883, 23.347118031285913, 23.350047487259765, 23.375825986196716, 23.383567273085614, 23.39440837895637
8, 20.475190022539177, 20.922417069284165, 20.99159681750208, 21.04433443728197, 21.098879366231888, 21.134975231497705, 21.28812884143572, 21.290666448195704, 21.3465840271989, 21.37830341903831, 21.544580786170552, 21.565934996582683, 21.60100503285952, 21.62802132927444, 21.669854662881626, 21.748832213382563, 21.76004571960483, 21.80987719606042, 21.83500886788882, 21.869882754583617, 21.870677399294337, 21.884632396349126, 21.905428546203503, 21.935061243457227, 21.95639085973417, 22.058465685128397, 22.15458844851756, 22.15958556215769, 22.167532179066914, 22.180057630712852, 22.190860308045576, 22.24078792585099, 22.25043005671281, 22.305533062295268, 22.330467076412457, 22.333995446026204, 22.376725937772072, 22.379812974902233, 22.396947043650787, 22.409874707036124, 22.431732285929453, 22.43705527892195, 22.43737810217978, 22.463214534297567, 22.482252800822458, 22.504239013112645, 22.57291382971213, 22.595842429752068, 22.59647340694103, 22.611637694379827, 22.614574358067788, 22.620894635713842, 22.62139170549113, 22.67471522852643, 22.71691441769074, 22.748318481641842, 22.75606450576601, 22.773750453024522, 22.834644280043495, 22.84608388396578, 22.851526952896585, 22.851980344028007, 22.905199962702483, 22.906500299948764, 22.90730521272453, 22.958598439942996, 22.99022741624106, 22.9982509383553, 23.006595388828643, 23.00661030183269, 23.022122318257047, 23.026294035400948, 23.032574470178055, 23.043282825941496, 23.049292913825344, 23.065043691288736, 23.084963123963846, 23.106312847676723, 23.125494862673513, 23.145828649562514, 23.149899689720662, 23.156869529363576, 23.165892722288426, 23.181805811028788, 23.19620807558825, 23.21219413078239, 23.214458475559418, 23.231448132012904, 23.235347972061625, 23.24698427320982, 23.24772426721818, 23.28170841383644, 23.296593367474582, 23.330249727699897, 23.34043622230842, 23.348362327828713, 23.365048292068344, 23.36628105989341, 23.375334212882702, 23.38395016022336
9, 20.42171103333477, 20.554361378171556, 20.736426473986803, 20.76343743748594, 20.873530045781596, 21.13127132009898, 21.187640542802278, 21.317438241769544, 21.45887790963563, 21.46930274838479, 21.5055898327687, 21.536530288607803, 21.537186990850298, 21.54327475546192, 21.588160559790442, 21.641240174326022, 21.675154313899064, 21.783121172531214, 21.82294804375162, 21.84752639801749, 21.874429470812114, 21.896283266282424, 21.98038325795723, 22.085857064726756, 22.088078153665727, 22.097778754163045, 22.16267960210959, 22.181238999423773, 22.23470135699263, 22.28145341197334, 22.3249667146626, 22.33171245202141, 22.38580630430495, 22.425531507252984, 22.464602560949974, 22.481166138053368, 22.492074357160224, 22.519552933867974, 22.541622110276826, 22.574881789645236, 22.59170278565425, 22.623144760381294, 22.639169109619033, 22.662532053440035, 22.67042965036395, 22.680949087562347, 22.691430737462582, 22.724850220084228, 22.765185078081572, 22.80044768661205, 22.82510089961583, 22.849001841131475, 22.854566437172895, 22.874323015786498, 22.8815272291061, 22.883142559495354, 22.884490693559535, 22.88802340965216, 22.89760441396514, 22.9202646304395, 22.95253876000266, 22.955520394495146, 22.976385628714723, 22.997097696065776, 23.003445376444592, 23.011071005282275, 23.017063820861143, 23.024681244252616, 23.035458625100397, 23.03969877220752, 23.05093908923744, 23.06146419711115, 23.090605307983065, 23.091862140834046, 23.104291857411653, 23.11262981981474, 23.11690890535173, 23.12653236200236, 23.138229875012776, 23.139420642312523, 23.14486168941245, 23.149765940857165, 23.183634203706227, 23.18385256903392, 23.184767219011942, 23.211174446789062, 23.211501594240474, 23.239935366257527, 23.249323838977837, 23.260812174127842, 23.278379489768795, 23.300800628299935, 23.31534946175469, 23.330092447308132, 23.341535232849356, 23.34485733180086, 23.35291509538319, 23.36539953765416, 23.372660448434967, 23.407890571197825
10, 19.42511672432533, 19.791084222898938, 19.978599111377996, 20.72854216403263, 20.86975424126018, 20.920255585186588, 21.06752553302133, 21.118905322962753, 21.23549358828066, 21.42625753435405, 21.49178546453179, 21.575203786618285, 21.675061123857372, 21.685326473582432, 21.85216011460006, 21.972981542930185, 22.02445132813381, 22.050515774598107, 22.07016092395274, 22.076514148308668, 22.093208189997863, 22.21755070699733, 22.332228079981515, 22.368578215936054, 22.38443565206819, 22.418069688490917, 22.445587755310896, 22.473080398547577, 22.496504756538442, 22.505085880117228, 22.561927291156564, 22.57505174699447, 22.577910657009394, 22.62066377796369, 22.631518172025224, 22.69833422710265, 22.703139336178896, 22.706093094544823, 22.748212587105776, 22.77155137095472, 22.772515760073503, 22.778554174824922, 22.803273912490404, 22.809278568828493, 22.875862210503744, 22.875967729153142, 22.8950339433428, 22.9562983444816, 23.01636856079143, 23.041320906365705, 23.09038086505146, 23.104736671969686, 23.11184965852701, 23.12284555787917, 23.133083620679784, 23.158568328875358, 23.162688293602493, 23.211602289451452, 23.221581655690134, 23.232725308982378, 23.258711794743864, 23.26516489569262, 23.278246435850694, 23.289114412620957, 23.29924684096434, 23.301862466027014, 23.329499135360795, 23.373960151445132, 23.37492863229354, 23.37799216069964, 23.38223861547954, 23.38790570843077, 23.389429998680068, 23.395129466905445, 23.39892305557902, 23.401112192811308, 23.408177001628914, 23.408852423674425, 23.422789707813273, 23.43150334352295, 23.432828335670006, 23.445297762753338, 23.447594002580896, 23.47516061588597, 23.500412871475643, 23.50775304990421, 23.551961316400714, 23.55779122846942, 23.574904261710195, 23.584286280349254, 23.586159336741197, 23.587054007901305, 23.60863657192998, 23.616395670115438, 23.63191527506246, 23.63312280401229, 23.635591760802267, 23.64135821385867, 23.668106957118987, 23.67300829202087
